no,category,subcategory,arxiv_url,title,citations,source,additional_doi
1037,Others,Uncategorized,http://arxiv.org/abs/2602.20901 ,SpatiaLQA: A Benchmark for Evaluating Spatial Logical Reasoning in Vision-Language Models,0,uncategorized,
1036,Others,Uncategorized,http://arxiv.org/abs/2602.20055 ,To Move or Not to Move: Constraint-based Planning Enables Zero-Shot Generalization for Interactive Navigation,0,uncategorized,
1035,Others,Uncategorized,http://arxiv.org/abs/2602.19974 ,RL-RIG: A Generative Spatial Reasoner via Intrinsic Reflection,0,uncategorized,
1034,Others,Uncategorized,http://arxiv.org/abs/2602.17555 ,GraphThinker: Reinforcing Video Reasoning with Event Graph Thinking,0,uncategorized,
1033,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2602.16356 ,Articulated 3D Scene Graphs for Open-World Mobile Manipulation,0,manual,
1032,Robotics,Manipulation,http://arxiv.org/abs/2602.13086 ,UniManip: General-Purpose Zero-Shot Robotic Manipulation with Agentic Operational Graph,0,manual,
1031,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2602.12971 ,INHerit-SG: Incremental Hierarchical Semantic Scene Graphs with RAG-Style Retrieval,0,manual,
1030,Robotics,Task-planning,http://arxiv.org/abs/2602.12244 ,Any House Any Task: Scalable Long-Horizon Planning for Abstract Human Tasks,0,manual,
1029,Scene Graph,Synthesis,http://arxiv.org/abs/2602.09165 ,All-in-One Conditioning for Text-to-Image Synthesis,0,manual,
1028,Others,Not Related,http://arxiv.org/abs/2602.07541 ,Differentiate-and-Inject: Enhancing VLAs via Functional Differentiation Induced by In-Parameter Structural Reasoning,0,manual,
1027,Others,Not Related,http://arxiv.org/abs/2602.06090 ,SVRepair: Structured Visual Reasoning for Automated Program Repair,0,manual,
1026,Reasoning,Grounding,http://arxiv.org/abs/2602.04635 ,Relational Scene Graphs for Object Grounding of Natural Language Commands,0,manual,
1025,Robotics,Manipulation,http://arxiv.org/abs/2602.04419 ,Integrated Exploration and Sequential Manipulation on Scene Graph with LLM-based Situated Replanning,0,manual,
1024,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2602.04152 ,MA3DSG: Multi-Agent 3D Scene Graph Generation for Large-Scale Indoor Environments,0,manual,
1023,Robotics,Robotic Perception,http://arxiv.org/abs/2602.03781 ,A Scene Graph Backed Approach to Open Set Semantic Mapping,0,manual,
1022,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2602.02974 ,SceneLinker: Compositional 3D Scene Generation via Semantic Scene Graph from RGB Sequences,0,manual,
1021,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2602.02456 ,Relationship-Aware Hierarchical 3D Scene Graph for Task Reasoning,0,manual,
1020,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2602.01930 ,LIEREx: Language-Image Embeddings for Robotic Exploration,0,manual,
1019,Robotics,Manipulation,http://arxiv.org/abs/2602.01693 ,GSR: Learning Structured Reasoning for Embodied Manipulation,0,manual,
1018,Robotics,Navigation,http://arxiv.org/abs/2602.00708 ,USS-Nav: Unified Spatio-Semantic Scene Graph for Lightweight UAV Zero-Shot Object Navigation,0,manual,
1017,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2602.00637 ,VIZOR: Viewpoint-Invariant Zero-Shot Scene Graph Generation for 3D Scene Reasoning,0,manual,
1016,Reasoning,Reasoning,http://arxiv.org/abs/2602.00414 ,Toward Autonomous Laboratory Safety Monitoring with Vision Language Models: Learning to See Hazards Through Scene Structure,0,manual,
1015,Scene Graph,Synthesis,http://arxiv.org/abs/2601.21498 ,SimGraph: A Unified Framework for Scene Graph-Based Image Generation and Editing,0,manual,
1014,Scene Graph,Representation,http://arxiv.org/abs/2601.20355 ,CURVE: Learning Causality-Inspired Invariant Representations for Robust Scene Understanding via Uncertainty-Guided Regularization,0,manual,
1013,Robotics,Manipulation,http://arxiv.org/abs/2601.19832 ,Information-Theoretic Detection of Bimanual Interactions for Dual-Arm Robot Plan Generation,0,manual,10.1109/lra.2025.3552216
1012,Scene Graph,Synthesis,http://arxiv.org/abs/2601.19433 ,RoamScene3D: Immersive Text-to-3D Scene Generation via Adaptive Object-aware Roaming,0,manual,
1011,Robotics,Task-planning,http://arxiv.org/abs/2601.18765 ,Goal-oriented Communication for Fast and Robust Robotic Fault Detection and Recovery,0,manual,
1010,Reasoning,VQA,http://arxiv.org/abs/2601.18157 ,Agentic Very Long Video Understanding,0,manual,
1009,Others,Weakly Related,http://arxiv.org/abs/2601.16093 ,SAMTok: Representing Any Mask with Two Words,0,manual,
1008,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2601.15025 ,ExPrIS: Knowledge-Level Expectations as Priors for Object Interpretation from Sensor Data,0,manual,10.1007/s13218-026-00901-7
1007,Robotics,Manipulation,http://arxiv.org/abs/2601.11460 ,Learning Semantic-Geometric Task Graph-Representations from Human Demonstrations,0,manual,
1006,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2601.10168 ,RAG-3DSG: Enhancing 3D Scene Graphs with Re-Shot Guided Retrieval-Augmented Generation,0,manual,
1005,Others,Weakly Related,http://arxiv.org/abs/2601.11644 ,Predicting When to Trust Vision-Language Models for Spatial Reasoning,0,manual,
1004,Reasoning,VQA,http://arxiv.org/abs/2601.11632 ,KG-ViP: Bridging Knowledge Grounding and Visual Perception in Multi-modal LLMs for Visual Question Answering,0,manual,
1003,Scene Graph,Scene Graph Generation,http://arxiv.org/abs/2601.08728 ,Salience-SGG: Enhancing Unbiased Scene Graph Generation with Iterative Salience Estimation,0,manual,
1002,Scene Graph,Synthesis,http://arxiv.org/abs/2601.07219 ,VENUS: Visual Editing with Noise Inversion Using Scene Graphs,0,manual,
1001,Robotics,Navigation,http://arxiv.org/abs/2601.06806 ,SpatialNav: Leveraging Spatial Scene Graphs for Zero-Shot Vision-and-Language Navigation,0,manual,
1000,Scene Graph,3D Scene Graph,http://arxiv.org/abs/2601.06415 ,Semantic Enrichment of CAD-Based Industrial Environments via Scene Graphs for Simulation and Reasoning,0,manual,
999,Reasoning,Reasoning,http://arxiv.org/abs/2601.05600 ,SceneAlign: Aligning Multimodal Reasoning to Scene Graphs in Complex Visual Scenes,0,manual,
